URL_ID,positive_score,negative_score,polarity_score,total_words,subjectivity_score,number of sentence,average sentence length,complex_word_per_sentence,percentage of complex words,fog index,personal_pronouns,count_alphabets_per_sentence,average_word_length
blackassign0048,3,4,-0.142857122,139,0.050359712,13,10.69230769,38,0.273381295,4.386275595,2,1051,7.561151079
blackassign0050,24,69,-0.483870963,646,0.143962848,58,11.13793103,164,0.253869969,4.556720401,2,4576,7.083591331
blackassign0051,17,14,0.09677419,319,0.097178683,32,9.96875,93,0.29153605,4.10411442,3,2212,6.934169279
blackassign0052,56,42,0.142857141,788,0.124365482,92,8.565217391,234,0.296954315,3.544868682,9,5591,7.095177665
blackassign0053,40,3,0.860465096,316,0.136075949,44,7.181818182,91,0.287974684,2.987917146,4,2310,7.310126582
blackassign0054,4,1,0.59999988,187,0.026737968,17,11,42,0.22459893,4.489839572,0,1228,6.56684492
blackassign0055,25,9,0.470588221,534,0.063670412,50,10.68,106,0.198501873,4.351400749,4,3507,6.56741573
blackassign0056,22,8,0.466666651,330,0.090909091,25,13.2,116,0.351515152,5.420606061,1,2427,7.354545455
blackassign0057,14,8,0.27272726,151,0.145695363,29,5.206896552,47,0.311258278,2.207261932,0,1183,7.834437086
blackassign0058,4,0,0.99999975,83,0.048192771,10,8.3,28,0.337349398,3.454939759,1,636,7.662650602
blackassign0059,20,36,-0.285714281,331,0.16918429,55,6.018181818,69,0.208459215,2.490656413,13,2183,6.595166163
blackassign0060,6,2,0.499999938,74,0.108108107,10,7.4,12,0.162162162,3.024864865,1,502,6.783783784
blackassign0061,52,19,0.464788726,611,0.116202946,69,8.855072464,203,0.332242226,3.674925876,0,4739,7.75613748
blackassign0062,8,18,-0.38461537,236,0.110169491,31,7.612903226,67,0.283898305,3.158720612,8,1668,7.06779661
blackassign0063,21,37,-0.275862064,451,0.128603104,50,9.02,123,0.272727273,3.717090909,5,3089,6.849223947
blackassign0064,26,48,-0.297297293,822,0.090024331,74,11.10810811,273,0.332116788,4.576089959,15,6303,7.667883212
blackassign0065,43,22,0.323076918,694,0.093659942,72,9.638888889,176,0.253602305,3.956996478,17,4790,6.902017291
blackassign0066,33,26,0.118644066,628,0.093949044,69,9.101449275,150,0.238853503,3.736121111,16,4254,6.77388535
blackassign0067,25,7,0.562499982,319,0.100313479,67,4.76119403,106,0.332288401,2.037392972,0,2266,7.103448276
blackassign0068,40,7,0.702127645,500,0.094,58,8.620689655,137,0.274,3.557875862,4,3480,6.96
